path,class
..\data\images_512x512\Anglet_GrandePlage_2022-03-18_08-30_y-0_x-512.jpg,1.0
..\data\images_512x512\Biarritz_2022-03-13_17-41_y-512_x-1024.jpg,0.0
..\data\images_512x512\Anglet_GrandePlage_2022-03-14_15-01_y-512_x-0.jpg,1.0
..\data\images_512x512\Capbreton_Santosha_2022-03-17_18-30_y-512_x-512.jpg,0.0
..\data\images_512x512\Capbreton_Santosha_2022-03-28_11-30_y-0_x-0.jpg,0.0
..\data\images_512x512\Capbreton_Santosha_2022-04-02_05-16_y-0_x-512.jpg,0.0
..\data\images_512x512\Anglet_GrandePlage_2022-03-30_12-00_y-0_x-512.jpg,0.0
..\data\images_512x512\Lacanau_2022-04-02_05-46_y-0_x-512.jpg,0.0
..\data\images_512x512\Lacanau_2022-03-13_14-01_y-0_x-512.jpg,0.0
..\data\images_512x512\Lacanau_2022-03-25_11-15_y-0_x-512.jpg,0.0
..\data\images_512x512\Anglet_GrandePlage_2022-03-26_16-45_y-0_x-512.jpg,0.0
..\data\images_512x512\Lacanau_2022-03-19_12-30_y-0_x-512.jpg,1.0
..\data\images_512x512\Biarritz_2022-03-23_10-15_y-512_x-0.jpg,0.0
..\data\images_512x512\Biarritz_2022-03-28_16-15_y-512_x-0.jpg,0.0
..\data\images_512x512\Biarritz_2022-03-24_09-15_y-0_x-1024.jpg,0.0
..\data\images_512x512\Capbreton_Santosha_2022-03-20_10-30_y-0_x-1024.jpg,0.0
..\data\images_512x512\Anglet_GrandePlage_2022-04-01_08-31_y-512_x-0.jpg,0.0
..\data\images_512x512\Biarritz_2022-03-21_16-15_y-512_x-0.jpg,0.0
..\data\images_512x512\Lacanau_2022-03-26_10-15_y-0_x-512.jpg,1.0
..\data\images_512x512\Capbreton_Prevent_2022-03-12_13-44_y-512_x-1024.jpg,0.0
..\data\images_512x512\Biarritz_2022-03-30_16-15_y-0_x-1024.jpg,0.0
..\data\images_512x512\Anglet_GrandePlage_2022-03-18_13-15_y-512_x-0.jpg,0.0
..\data\images_512x512\Anglet_GrandePlage_2022-03-30_15-15_y-0_x-1024.jpg,0.0
..\data\images_512x512\Capbreton_Santosha_2022-03-13_15-41_y-512_x-0.jpg,0.0
..\data\images_512x512\Capbreton_Santosha_2022-04-02_05-16_y-512_x-512.jpg,0.0
..\data\images_512x512\Anglet_GrandePlage_2022-03-19_13-00_y-0_x-1024.jpg,0.0
..\data\images_512x512\Anglet_GrandePlage_2022-03-28_13-15_y-0_x-1024.jpg,0.0
..\data\images_512x512\Biarritz_2022-03-28_14-00_y-0_x-0.jpg,0.0
..\data\images_512x512\Anglet_GrandePlage_2022-04-01_09-30_y-512_x-1024.jpg,0.0
..\data\images_512x512\Biarritz_2022-03-23_18-30_y-0_x-0.jpg,0.0
..\data\images_512x512\Anglet_GrandePlage_2022-03-27_09-45_y-0_x-0.jpg,0.0
..\data\images_512x512\Biarritz_2022-03-14_15-01_y-512_x-0.jpg,0.0
..\data\images_512x512\Capbreton_Santosha_2022-04-01_11-01_y-512_x-512.jpg,0.0
..\data\images_512x512\Anglet_GrandePlage_2022-03-25_16-30_y-0_x-0.jpg,0.0
..\data\images_512x512\Biarritz_2022-03-28_17-45_y-0_x-1024.jpg,0.0
..\data\images_512x512\Biarritz_2022-03-14_13-21_y-512_x-512.jpg,1.0
..\data\images_512x512\Capbreton_Santosha_2022-03-31_10-31_y-512_x-512.jpg,0.0
..\data\images_512x512\Capbreton_Santosha_2022-03-23_15-15_y-512_x-1024.jpg,0.0
..\data\images_512x512\Capbreton_Santosha_2022-03-22_16-00_y-512_x-512.jpg,0.0
..\data\images_512x512\Biarritz_2022-03-22_17-30_y-0_x-1024.jpg,0.0
..\data\images_512x512\Biarritz_2022-03-19_18-15_y-512_x-0.jpg,0.0
..\data\images_512x512\Biarritz_2022-03-13_17-01_y-0_x-1024.jpg,0.0
..\data\images_512x512\Biarritz_2022-03-22_17-30_y-0_x-512.jpg,0.0
..\data\images_512x512\Anglet_GrandePlage_2022-03-18_15-45_y-0_x-512.jpg,0.0
..\data\images_512x512\Biarritz_2022-03-19_09-30_y-512_x-512.jpg,0.0
..\data\images_512x512\Capbreton_Santosha_2022-03-24_09-00_y-0_x-1024.jpg,0.0
..\data\images_512x512\Capbreton_Santosha_2022-03-24_12-00_y-0_x-0.jpg,0.0
..\data\images_512x512\Biarritz_2022-03-24_10-30_y-0_x-0.jpg,0.0
..\data\images_512x512\Capbreton_Santosha_2022-03-30_11-31_y-512_x-1024.jpg,0.0
..\data\images_512x512\Biarritz_2022-03-31_08-45_y-512_x-0.jpg,0.0
..\data\images_512x512\Anglet_GrandePlage_2022-04-01_14-00_y-512_x-0.jpg,0.0
..\data\images_512x512\Biarritz_2022-03-21_09-00_y-512_x-1024.jpg,1.0
..\data\images_512x512\Lacanau_2022-03-12_13-49_y-0_x-0.jpg,0.0
..\data\images_512x512\Capbreton_Santosha_2022-03-24_11-30_y-512_x-0.jpg,1.0
..\data\images_512x512\Anglet_GrandePlage_2022-03-28_16-45_y-0_x-0.jpg,0.0
..\data\images_512x512\Lacanau_2022-03-31_07-16_y-0_x-512.jpg,0.0
..\data\images_512x512\Biarritz_2022-03-30_06-00_y-0_x-1024.jpg,0.0
..\data\images_512x512\Biarritz_2022-03-23_15-30_y-512_x-0.jpg,0.0
..\data\images_512x512\Anglet_GrandePlage_2022-03-20_15-15_y-0_x-512.jpg,0.0
..\data\images_512x512\Capbreton_Santosha_2022-03-24_08-45_y-0_x-0.jpg,0.0
..\data\images_512x512\Capbreton_Santosha_2022-04-02_08-31_y-0_x-1024.jpg,0.0
..\data\images_512x512\Lacanau_2022-04-01_13-31_y-0_x-512.jpg,0.0
..\data\images_512x512\Anglet_GrandePlage_2022-03-26_08-30_y-512_x-512.jpg,0.0
..\data\images_512x512\Capbreton_Santosha_2022-03-18_09-15_y-0_x-1024.jpg,0.0
..\data\images_512x512\Biarritz_2022-03-14_14-01_y-512_x-1024.jpg,1.0
..\data\images_512x512\Biarritz_2022-03-26_10-00_y-512_x-512.jpg,0.0
..\data\images_512x512\Capbreton_Prevent_2022-03-11_18-50_y-512_x-0.jpg,0.0
..\data\images_512x512\Capbreton_Santosha_2022-03-22_11-45_y-512_x-1024.jpg,1.0
..\data\images_512x512\Biarritz_2022-03-14_13-41_y-512_x-0.jpg,0.0
..\data\images_512x512\Anglet_GrandePlage_2022-03-18_10-00_y-0_x-0.jpg,0.0
..\data\images_512x512\Biarritz_2022-03-29_12-15_y-0_x-512.jpg,0.0
..\data\images_512x512\Anglet_GrandePlage_2022-03-11_18-45_y-0_x-0.jpg,0.0
..\data\images_512x512\Lacanau_2022-03-25_13-30_y-0_x-512.jpg,0.0
..\data\images_512x512\Anglet_GrandePlage_2022-03-18_15-00_y-512_x-512.jpg,0.0
..\data\images_512x512\Capbreton_Santosha_2022-03-22_16-00_y-0_x-512.jpg,0.0
..\data\images_512x512\Anglet_GrandePlage_2022-03-13_13-21_y-512_x-1024.jpg,0.0
..\data\images_512x512\Capbreton_Santosha_2022-03-29_09-00_y-512_x-512.jpg,0.0
