spot,initial_image_file,x,y,image_file
Capbreton_Santosha,2022-03-29_15-00jpg,0,0,Capbreton_Santosha_2022-03-29_15-00_y-0_x-0.jpg
Capbreton_Santosha,2022-03-29_15-00jpg,512,0,Capbreton_Santosha_2022-03-29_15-00_y-0_x-512.jpg
Capbreton_Santosha,2022-03-29_15-00jpg,1024,0,Capbreton_Santosha_2022-03-29_15-00_y-0_x-1024.jpg
Capbreton_Santosha,2022-03-29_15-00jpg,0,512,Capbreton_Santosha_2022-03-29_15-00_y-512_x-0.jpg
Capbreton_Santosha,2022-03-29_15-00jpg,512,512,Capbreton_Santosha_2022-03-29_15-00_y-512_x-512.jpg
Capbreton_Santosha,2022-03-29_15-00jpg,1024,512,Capbreton_Santosha_2022-03-29_15-00_y-512_x-1024.jpg
Biarritz,2022-03-23_08-00jpg,0,0,Biarritz_2022-03-23_08-00_y-0_x-0.jpg
Biarritz,2022-03-23_08-00jpg,512,0,Biarritz_2022-03-23_08-00_y-0_x-512.jpg
Biarritz,2022-03-23_08-00jpg,1024,0,Biarritz_2022-03-23_08-00_y-0_x-1024.jpg
Biarritz,2022-03-23_08-00jpg,0,512,Biarritz_2022-03-23_08-00_y-512_x-0.jpg
Biarritz,2022-03-23_08-00jpg,512,512,Biarritz_2022-03-23_08-00_y-512_x-512.jpg
Biarritz,2022-03-23_08-00jpg,1024,512,Biarritz_2022-03-23_08-00_y-512_x-1024.jpg
Biarritz,2022-03-22_14-15jpg,0,0,Biarritz_2022-03-22_14-15_y-0_x-0.jpg
Biarritz,2022-03-22_14-15jpg,512,0,Biarritz_2022-03-22_14-15_y-0_x-512.jpg
Biarritz,2022-03-22_14-15jpg,1024,0,Biarritz_2022-03-22_14-15_y-0_x-1024.jpg
Biarritz,2022-03-22_14-15jpg,0,512,Biarritz_2022-03-22_14-15_y-512_x-0.jpg
Biarritz,2022-03-22_14-15jpg,512,512,Biarritz_2022-03-22_14-15_y-512_x-512.jpg
Biarritz,2022-03-22_14-15jpg,1024,512,Biarritz_2022-03-22_14-15_y-512_x-1024.jpg
Anglet_GrandePlage,2022-03-20_10-15jpg,0,0,Anglet_GrandePlage_2022-03-20_10-15_y-0_x-0.jpg
Anglet_GrandePlage,2022-03-20_10-15jpg,512,0,Anglet_GrandePlage_2022-03-20_10-15_y-0_x-512.jpg
Anglet_GrandePlage,2022-03-20_10-15jpg,1024,0,Anglet_GrandePlage_2022-03-20_10-15_y-0_x-1024.jpg
Anglet_GrandePlage,2022-03-20_10-15jpg,0,512,Anglet_GrandePlage_2022-03-20_10-15_y-512_x-0.jpg
Anglet_GrandePlage,2022-03-20_10-15jpg,512,512,Anglet_GrandePlage_2022-03-20_10-15_y-512_x-512.jpg
Anglet_GrandePlage,2022-03-20_10-15jpg,1024,512,Anglet_GrandePlage_2022-03-20_10-15_y-512_x-1024.jpg
Capbreton_Santosha,2022-03-20_12-00jpg,0,0,Capbreton_Santosha_2022-03-20_12-00_y-0_x-0.jpg
Capbreton_Santosha,2022-03-20_12-00jpg,512,0,Capbreton_Santosha_2022-03-20_12-00_y-0_x-512.jpg
Capbreton_Santosha,2022-03-20_12-00jpg,1024,0,Capbreton_Santosha_2022-03-20_12-00_y-0_x-1024.jpg
Capbreton_Santosha,2022-03-20_12-00jpg,0,512,Capbreton_Santosha_2022-03-20_12-00_y-512_x-0.jpg
Capbreton_Santosha,2022-03-20_12-00jpg,512,512,Capbreton_Santosha_2022-03-20_12-00_y-512_x-512.jpg
Capbreton_Santosha,2022-03-20_12-00jpg,1024,512,Capbreton_Santosha_2022-03-20_12-00_y-512_x-1024.jpg
Capbreton_Santosha,2022-04-02_10-16jpg,0,0,Capbreton_Santosha_2022-04-02_10-16_y-0_x-0.jpg
Capbreton_Santosha,2022-04-02_10-16jpg,512,0,Capbreton_Santosha_2022-04-02_10-16_y-0_x-512.jpg
Capbreton_Santosha,2022-04-02_10-16jpg,1024,0,Capbreton_Santosha_2022-04-02_10-16_y-0_x-1024.jpg
Capbreton_Santosha,2022-04-02_10-16jpg,0,512,Capbreton_Santosha_2022-04-02_10-16_y-512_x-0.jpg
Capbreton_Santosha,2022-04-02_10-16jpg,512,512,Capbreton_Santosha_2022-04-02_10-16_y-512_x-512.jpg
Capbreton_Santosha,2022-04-02_10-16jpg,1024,512,Capbreton_Santosha_2022-04-02_10-16_y-512_x-1024.jpg
Capbreton_Santosha,2022-03-28_08-15jpg,0,0,Capbreton_Santosha_2022-03-28_08-15_y-0_x-0.jpg
Capbreton_Santosha,2022-03-28_08-15jpg,512,0,Capbreton_Santosha_2022-03-28_08-15_y-0_x-512.jpg
Capbreton_Santosha,2022-03-28_08-15jpg,1024,0,Capbreton_Santosha_2022-03-28_08-15_y-0_x-1024.jpg
Capbreton_Santosha,2022-03-28_08-15jpg,0,512,Capbreton_Santosha_2022-03-28_08-15_y-512_x-0.jpg
Capbreton_Santosha,2022-03-28_08-15jpg,512,512,Capbreton_Santosha_2022-03-28_08-15_y-512_x-512.jpg
Capbreton_Santosha,2022-03-28_08-15jpg,1024,512,Capbreton_Santosha_2022-03-28_08-15_y-512_x-1024.jpg
Capbreton_Santosha,2022-03-20_13-15jpg,0,0,Capbreton_Santosha_2022-03-20_13-15_y-0_x-0.jpg
Capbreton_Santosha,2022-03-20_13-15jpg,512,0,Capbreton_Santosha_2022-03-20_13-15_y-0_x-512.jpg
Capbreton_Santosha,2022-03-20_13-15jpg,1024,0,Capbreton_Santosha_2022-03-20_13-15_y-0_x-1024.jpg
Capbreton_Santosha,2022-03-20_13-15jpg,0,512,Capbreton_Santosha_2022-03-20_13-15_y-512_x-0.jpg
